user;absdiff
1;03jansa;42143
2;8kart;2448
3;Ahsoous;73476
4;AinAnepaio;12835
5;AnonüümneLeemur;27503
6;Astromaailm;28914
7;Athanasius Soter;26717
8;Avetoelpt;2379
9;Avjoska;19894
10;Daniel charms;3542
11;Domini4kanna;24988
12;Epp;246438
13;Estonianstudents;5954
14;Evelyn111090;14413
15;Geonarva;15120
16;Helen Verev;7532
17;Hs1802;4350
18;Juhan121;8915
19;Kaspaar;5546
20;Krr005;301100
21;Kuuskinen;62394
22;Maareti;49958
23;Mari203;31908
24;Marken.raudnagel;1207
25;Mesimumm;31179
26;Metsavend;12942
27;Morel;31178
28;Nefjool;124933
29;Njosnavelin;550838
30;Ottosson74;3267
31;Roosinomm;4444
32;Sacerdos79;1018771
33;SinineKaelkirjak;12904
34;Sjur;714
35;Teilolondon;4645
36;Tkivisik;21543
37;Viisaar;13390
