comment;pageid;title;timestamp;top;userid;revid;user;parentid;ns;minor;size;new
/* Taassünd */;420736;Kasutaja:Adamsont/Nixie toru;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=18, tm_hour=14, tm_min=52, tm_sec=52, tm_wday=2, tm_yday=322, tm_isdst=-1);;83210;4311069;Adamsont;4311067;2;;11824;
;420032;Kasutaja arutelu:Chrloob;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=10, tm_hour=11, tm_min=34, tm_sec=47, tm_wday=1, tm_yday=314, tm_isdst=-1);;83531;4305341;Chrloob;4305339;3;;11769;
;417958;Kasutaja:Ehürges/Microsoft Edge;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=17, tm_hour=16, tm_min=10, tm_sec=2, tm_wday=1, tm_yday=321, tm_isdst=-1);;82016;4310447;Ehürges;4310446;2;;88;
Lehekülg asendatud tekstiga 'Artikkel on nüüd leitav [[Mõõtemääramatus|siit]].';419895;Kasutaja:Jmerisalu/Mõõtemääramatus;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=22, tm_hour=15, tm_min=39, tm_sec=38, tm_wday=6, tm_yday=326, tm_isdst=-1);;83336;4313723;Jmerisalu;4313664;2;;55;
;420009;Kasutaja:JohVainikko/Laserskanner;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=24, tm_hour=12, tm_min=46, tm_sec=13, tm_wday=1, tm_yday=328, tm_isdst=-1);;83466;4315273;JohVainikko;4315265;2;;7634;
K.samuel teisaldas lehekülje [[Vikipeedia arutelu:Roboti lokaliseerimine]] ümbersuunamise [[Kasutaja arutelu:K.samuel/Roboti lokaliseerimine]] asemele;419582;Kasutaja arutelu:K.samuel/Roboti lokaliseerimine;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=10, tm_hour=13, tm_min=3, tm_sec=42, tm_wday=1, tm_yday=314, tm_isdst=-1);;64305;4305418;K.samuel;4305411;3;;322;
Lisasin, eemaldasin ja muutsin linke.;419874;Kasutaja:KarlAllik/RoHS direktiiv;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=14, tm_hour=16, tm_min=45, tm_sec=51, tm_wday=5, tm_yday=318, tm_isdst=-1);;83438;4308174;KarlAllik;4308169;2;;13319;
Lehekülg asendatud tekstiga 'Artikkel on nüüd leitav [[Diffie-Hellmani võtmevahetus|siit]].';419588;Kasutaja:Lvalgma/Diffie-Hellmani võtmevahetus;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=24, tm_hour=18, tm_min=15, tm_sec=57, tm_wday=1, tm_yday=328, tm_isdst=-1);;82374;4315556;Lvalgma;4315351;2;;65;
Uus lehekülg: '[[File:Smart Orthotics.jpg|thumb|Jalatalla rõhu mõõtmine]] '''Inimese jalatalla rõhu mõõtesüsteem''' (IJRM) on süsteem, mida kasutatakse eelkõige jalatalla ning pind |...';420238;Inimese jalatalla rõhu mõõtesüsteem;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=12, tm_hour=12, tm_min=11, tm_sec=25, tm_wday=3, tm_yday=316, tm_isdst=-1);;83398;4306643;MarMartis;0;0;;14203;
;419783;Kasutaja:MargoM/IMAP;time.struct_time(tm_year=2015, tm_mon=11, tm_mday=19, tm_hour=16, tm_min=38, tm_sec=38, tm_wday=3, tm_yday=323, tm_isdst=-1);;49716;4311882;MargoM;4311455;2;;13354;
