user;sizediff
1;03jansa;42061
2;8kart;2440
3;Ahsoous;72768
4;AinAnepaio;11699
5;AnonüümneLeemur;27437
6;Astromaailm;26918
7;Athanasius Soter;26687
8;Avetoelpt;2379
9;Avjoska;19668
10;Daniel charms;3492
11;Domini4kanna;24936
12;Epp;242392
13;Estonianstudents;5530
14;Evelyn111090;14413
15;Geonarva;15092
16;Helen Verev;7428
17;Hs1802;4350
18;Juhan121;8687
19;Kaspaar;3212
20;Krr005;301076
21;Kuuskinen;62362
22;Maareti;49914
23;Mari203;31258
24;Marken.raudnagel;1207
25;Mesimumm;31137
26;Metsavend;12938
27;Morel;29420
28;Nefjool;124671
29;Njosnavelin;539318
30;Ottosson74;3267
31;Roosinomm;4208
32;Sacerdos79;803851
33;SinineKaelkirjak;12866
34;Sjur;714
35;Teilolondon;4383
36;Tkivisik;21205
37;Viisaar;10768
