user;sizediff
1;03jansa;42061
2;70258mls;16456
3;8kart;2880
4;Adeliine;42130
5;Ahsoous;72768
6;Aiatee;3089
7;AinAnepaio;11699
8;AllanPH;13716
9;Andres;29350
10;AnonüümneLeemur;26076
11;Astromaailm;26964
12;Athanasius Soter;26687
13;Avetoelpt;2379
14;Avjoska;25105
15;Daniel charms;859
16;Determist;78369
17;Domini4kanna;24936
18;Epp;273740
19;Estonianstudents;5530
20;Evelyn111090;14413
21;Geonarva;15092
22;Helen Verev;4721
23;Hs1802;4350
24;Idaeurooplane;41591
25;Juhan121;76907
26;Kaspaar;3212
27;Kenevernik;20447
28;Kilpkonnake;6395
29;Krr005;296515
30;Kuuskinen;59790
31;Maareti;126257
32;Mari203;31850
33;Marken.raudnagel;1207
34;Melilac;158032
35;Mesimumm;31137
36;Metsavend;32909
37;Mona;63694
38;Morel;38422
39;Nefjool;124671
40;Neleu;8460
41;Njosnavelin;594817
42;Ottosson74;3267
43;PB Madis;494
44;PB Madli;2952
45;Postituvi;24312
46;Roosinomm;4208
47;Sacerdos79;803802
48;SinineKaelkirjak;12866
49;Sjur;714
50;StenP;763
51;Teilolondon;4383
52;Tkivisik;22446
53;TKtahi;3453
54;Vahutavmeri;4429
55;Viisaar;10768
56;VillaK;35421
